skill_id,skill_name,skill_description
SKILL-DEC-001,Short Vowels,"Recognizing and pronouncing short vowel sounds (a, e, i, o, u) in simple consonant-vowel-consonant words like 'cat', 'bed', 'sit', 'hot', 'cup'."
SKILL-DEC-002,Long Vowels,"Reading words with long vowel patterns including silent-e (CVCe) where the final e makes the vowel 'say its name', as in 'cake', 'bike', 'home', 'cute'."
SKILL-DEC-003,Consonant Blends,"Decoding words with consonant blends at the beginning or end (bl-, cr-, st-, -nd, -mp). Students identify and pronounce these letter combinations that appear together."
SKILL-DEC-004,Consonant Digraphs,"Recognizing consonant digraphs where two letters make one sound (sh, ch, th, wh, ph). Students learn these letter pairs represent single phonemes."
SKILL-DEC-005,R-Controlled Vowels,"Reading words where a vowel is followed by 'r', changing the vowel sound (ar, er, ir, or, ur) as in 'car', 'her', 'bird', 'for', 'fur'."
SKILL-DEC-006,Vowel Teams,"Reading words with vowel teams where two vowels work together to make one sound (ai, ea, oa, ee, ie) like 'rain', 'boat', 'sleep'."
SKILL-DEC-007,Silent Letters,"Decoding words with silent letters that appear in spelling but aren't pronounced, such as the 'k' in 'knife', 'w' in 'write', or 'b' in 'climb'."
SKILL-DEC-008,Multisyllabic Words,"Breaking down and decoding longer words by identifying syllable patterns, dividing words into chunks, and blending syllables together."
SKILL-DEC-009,Prefixes and Suffixes,"Recognizing common prefixes (un-, re-, pre-) and suffixes (-ed, -ing, -ly, -ful) to decode words efficiently and understand meanings."
SKILL-DEC-010,Compound Words,"Reading compound words by identifying the two smaller words that combine to form one word, like 'sunshine', 'backpack', 'butterfly'."
SKILL-COMP-001,Main Idea,Identifying the main idea or central message - what the passage is mostly about. Students determine the most important point the author is making.
SKILL-COMP-002,Key Details,"Identifying and recalling specific details from the text that support the main idea, including facts, information, and evidence."
SKILL-COMP-003,Character Analysis,"Understanding and analyzing characters' traits, motivations, feelings, actions, and how they change or develop throughout the story."
SKILL-COMP-004,Setting,"Identifying and describing when and where a story takes place (time period and location), and recognizing how setting influences events."
SKILL-COMP-005,Plot and Sequence,"Understanding the sequence of events and story structure - what happens first, next, and last (beginning, middle, end)."
SKILL-COMP-006,Cause and Effect,"Identifying cause and effect relationships - understanding what happens (effect) and why it happens (cause), connecting actions with consequences."
SKILL-COMP-007,Making Inferences,Reading between the lines by using text evidence combined with prior knowledge to draw conclusions about information not explicitly stated.
SKILL-COMP-008,Predictions,"Making and confirming predictions about what will happen next based on prior events, context clues, and text patterns."
SKILL-COMP-009,Compare and Contrast,"Identifying similarities and differences between characters, events, ideas, or texts to develop deeper understanding."
SKILL-COMP-010,Text Structure,"Recognizing how informational text is organized (chronological, cause/effect, problem/solution, compare/contrast, description) to aid comprehension."
SKILL-COMP-011,Point of View,Understanding narrative perspective - identifying who is telling the story (first person 'I' vs third person 'he/she') and how it affects meaning.
SKILL-COMP-012,Theme,Identifying themes and universal lessons - the underlying messages or big ideas the author wants readers to understand about life.
SKILL-COMP-013,Author's Purpose,"Determining why an author wrote a text - to inform, persuade, entertain, or explain. Understanding the author's goal and intention."
